year,authors,papers,active
2021,"('nan duan', 'yeyun gong')",6,37.25
2021,"('jian jiao', 'ruofei zhang')",5,31.339285714285715
2021,"('tianfu wang', 'baiying lei')",10,60.92631578947368
2021,"('zachary wharton', 'ardhendu behera')",8,49.55555555555556
2021,"('nik bessis', 'zachary wharton')",5,31.555555555555554
2021,"('nik bessis', 'ardhendu behera')",5,31.416666666666664
2021,"('ois br', 'fran')",6,36.824561403508774
2021,"('ois br', 'mond')",6,37.333333333333336
2021,"('mond', 'fran')",6,36.824561403508774
2021,"('guolei sun', 'luc van gool')",5,31.208333333333332
2021,"('kailun yang', 'rainer stiefelhagen')",9,55.099999999999994
2021,"('jiaming zhang', 'rainer stiefelhagen')",7,42.96666666666667
2021,"('jiaming zhang', 'kailun yang')",7,42.888888888888886
2021,"('qi zhao', 'shuchang lyu')",5,31.238095238095237
2021,"('pengyuan zhang', 'yonghong yan')",5,30.669642857142854
2021,"('hongxia yang', 'jingren zhou')",7,43.47777777777778
2021,"('hongwu peng', 'shaoyi huang')",5,31.666666666666664
2021,"('panjie qi', 'edwin hsing-mean sha')",5,32.0
2021,"('yuhong song', 'panjie qi')",5,32.0
2021,"('yuhong song', 'edwin hsing-mean sha')",5,32.0
2021,"('yuhong song', 'qingfeng zhuge')",5,32.0
2021,"('panjie qi', 'qingfeng zhuge')",5,32.0
2021,"('edwin hsing-mean sha', 'qingfeng zhuge')",5,32.0
2021,"('m. ashraful amin', 'amin ahsan ali')",5,30.871212121212118
2021,"('yongsheng gao', 'jun wang')",5,30.933333333333334
2021,"('yongsheng gao', 'xiaohan yu')",5,31.833333333333336
2021,"('sridha sridharan', 'clinton fookes')",5,30.55727554179567
2021,"('rgen schmidhuber', 'j')",7,42.86666666666666
2021,"('chunyang wu', 'yangyang shi')",5,30.833333333333336
2021,"('bin liu', 'jianhua tao')",6,36.36931818181818
2021,"('ryo masumura', 'tomohiro tanaka')",5,30.857142857142858
2021,"('martin radfar', 'athanasios mouchtaris')",6,37.29545454545455
2021,"('feng-ju chang', 'athanasios mouchtaris')",6,37.75
2021,"('feng-ju chang', 'martin radfar')",6,37.54545454545455
2021,"('takaaki hori', 'jonathan le roux')",9,54.68181818181819
2021,"('takaaki hori', 'niko moritz')",6,36.58181818181818
2021,"('niko moritz', 'jonathan le roux')",6,36.67272727272727
2021,"('dan su', 'chao weng')",5,30.588235294117645
2021,"('shuli cheng', 'liejun wang')",6,37.285714285714285
2021,"('shuli cheng', 'yongming li')",5,31.339285714285715
2021,"('yongming li', 'liejun wang')",5,30.982142857142854
2021,"('bj', 'rn w. schuller')",9,54.45640074211502
2021,"('narinder singh punn', 'sonali agarwal')",5,31.666666666666664
2021,"('caiwen ding', 'hang liu')",6,36.96153846153847
2021,"('md mamunur rahaman', 'chen li')",6,36.91216216216216
2021,"('xiaoyan li', 'chen li')",5,30.69069069069069
2021,"('changhao sun', 'chen li')",5,30.84942084942085
2021,"('timo lohrenz', 'zhengyang li')",5,32.0
2021,"('zhengyang li', 'tim fingscheidt')",5,32.0
2021,"('timo lohrenz', 'tim fingscheidt')",5,32.0
2021,"('enrico santus', 'emmanuele chersoni')",5,31.71428571428571
2021,"('sakriani sakti', 'satoshi nakamura')",5,30.583333333333332
2021,"('tsubasa ochiai', 'marc delcroix')",6,37.125
2021,"('tsubasa ochiai', 'shoko araki')",5,31.25
2021,"('marc delcroix', 'shoko araki')",5,30.9375
2021,"('keisuke kinoshita', 'shoko araki')",5,31.25
2021,"('tsubasa ochiai', 'keisuke kinoshita')",5,31.25
2021,"('marc delcroix', 'keisuke kinoshita')",5,30.9375
2021,"('tomohiro nakatani', 'keisuke kinoshita')",5,31.180555555555554
2021,"('tomohiro nakatani', 'shoko araki')",5,31.180555555555554
2021,"('tsubasa ochiai', 'tomohiro nakatani')",5,31.180555555555554
2021,"('marc delcroix', 'tomohiro nakatani')",5,30.868055555555554
2021,"('chiori hori', 'jonathan le roux')",6,36.67272727272727
2021,"('chiori hori', 'takaaki hori')",5,30.484848484848484
2021,"('hirofumi inaguma', 'tatsuya kawahara')",5,30.71078431372549
2021,"('miguel ', 'ngel sotelo')",7,43.77777777777778
2021,"('ndez llorca', 'ngel sotelo')",5,31.71428571428571
2021,"('ndez llorca', 'miguel ')",5,31.555555555555554
2021,"('david fern', 'ndez llorca')",5,32.0
2021,"('david fern', 'ngel sotelo')",5,31.71428571428571
2021,"('david fern', 'miguel ')",5,31.555555555555554
2021,"('shuai wang', 'yaqi wang')",5,30.9375
2021,"('qianni zhang', 'yaqi wang')",5,31.625
2021,"('jingbo zhu', 'tong xiao')",6,36.652941176470584
2021,"('zachary wharton', 'asish bera')",5,31.555555555555554
2021,"('asish bera', 'ardhendu behera')",5,31.416666666666664
2021,"('lijuan wang', 'zicheng liu')",5,31.13095238095238
2021,"('daquan zhou', 'jiashi feng')",6,37.26086956521739
2021,"('daquan zhou', 'qibin hou')",5,31.333333333333332
2021,"('vishal m. patel', 'poojan oza')",5,31.3125
2021,"('richard bowden', 'z')",5,30.69264069264069
2021,"('necati cihan camg', 'richard bowden')",5,30.909090909090907
2021,"('necati cihan camg', 'z')",5,30.69264069264069
2021,"('kai han', 'yunhe wang')",7,43.13636363636363
